"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2017-01-27T22:16:42Z"
"Version","20170127221642"
"OfferCode","AmazonS3"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Availability","Storage Class","Volume Type","Fee Code","Fee Description","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Durability"
"Z3FQZG73HYSPVABR","JRTCKXETXF","Z3FQZG73HYSPVABR.JRTCKXETXF.PGHJ3S3EYE","OnDemand","$0.023 per GB - first 50 TB / month of storage used","2017-01-01","0","51200","GB-Mo","0.0230000000","USD","Storage","AmazonS3","US West (Oregon)","AWS Region","99.99%","General Purpose","Standard",,,,,,,,,,"USW2-TimedStorage-ByteHrs","","99.999999999%"
"Z3FQZG73HYSPVABR","JRTCKXETXF","Z3FQZG73HYSPVABR.JRTCKXETXF.D42MF2PVJS","OnDemand","$0.022 per GB - next 450 TB / month of storage used","2017-01-01","51200","512000","GB-Mo","0.0220000000","USD","Storage","AmazonS3","US West (Oregon)","AWS Region","99.99%","General Purpose","Standard",,,,,,,,,,"USW2-TimedStorage-ByteHrs","","99.999999999%"
"Z3FQZG73HYSPVABR","JRTCKXETXF","Z3FQZG73HYSPVABR.JRTCKXETXF.PXJDJ3YRG3","OnDemand","$0.021 per GB - storage used / month over 500 TB","2017-01-01","512000","Inf","GB-Mo","0.0210000000","USD","Storage","AmazonS3","US West (Oregon)","AWS Region","99.99%","General Purpose","Standard",,,,,,,,,,"USW2-TimedStorage-ByteHrs","","99.999999999%"
"H529XXCCRMNEJ5DU","JRTCKXETXF","H529XXCCRMNEJ5DU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.080 per GB - Amazon S3 accelerated data transfer in (from outside US, Europe or Japan)","2017-01-01","0","Inf","GB","0.0800000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated AWS Inbound using edge locations outside US, Europe or Japan","External","Other","Asia Pacific (Sydney)","AWS Region","APS2-DataTransfer-In-ABytes-T2","",
"NPPG7CTZ5WGPWPZA","JRTCKXETXF","NPPG7CTZ5WGPWPZA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - EU (Germany) Amazon S3 accelerated data transfer from US East (Ohio)","2017-01-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated InterRegion Inbound using edge locations within US, Europe or Japan","EU (Frankfurt)","AWS Region","US East (Ohio)","AWS Region","EUC1-USE2-AWS-In-ABytes-T1","",
"G4ZWEDXHXZBGPHFD","JRTCKXETXF","G4ZWEDXHXZBGPHFD.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EU (Ireland) data transfer to South America (Sao Paulo)","2017-01-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"InterRegion Outbound","EU (Ireland)","AWS Region","South America (Sao Paulo)","AWS Region","EU-SAE1-AWS-Out-Bytes","",
"J4JB7WGTBYRT7FC4","JRTCKXETXF","J4JB7WGTBYRT7FC4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - EU (London) Amazon S3 accelerated data transfer from Asia Pacific (Sydney)","2017-01-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated InterRegion Inbound from close by location","EU (London)","AWS Region","Asia Pacific (Sydney)","AWS Region","EUW2-APS2-AWS-In-ABytes","",
"Z7P5B7JDBJGGKVZU","JRTCKXETXF","Z7P5B7JDBJGGKVZU.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.013 per GB - Standard retrieval fee","2017-01-01","0","Inf","GB","0.0130000000","USD","Fee","AmazonS3","AWS GovCloud (US)","AWS Region",,,,"S3-Standard-Retrieval","Fee for Standard Retrieval of data stored",,,,,,,,"UGW1-Standard-Retrieval-Bytes","",
"S4NKJHN8ATK4FE5F","JRTCKXETXF","S4NKJHN8ATK4FE5F.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - EU (Germany) data transfer to Canada (Central)","2017-01-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"InterRegion Outbound","EU (Frankfurt)","AWS Region","Canada (Central)","AWS Region","EUC1-CAN1-AWS-Out-Bytes","",
"F2K8DAAADUDG8GUE","JRTCKXETXF","F2K8DAAADUDG8GUE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - Asia Pacific (Singapore) Amazon S3 accelerated data transfer from US East (Northern Virginia)","2017-01-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated InterRegion Inbound from close by location","Asia Pacific (Singapore)","AWS Region","US East (N. Virginia)","AWS Region","APS1-USE1-AWS-In-ABytes","",
"C3T7NJAY35EWRYKY","JRTCKXETXF","C3T7NJAY35EWRYKY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.019 per GB-Month of storage used for small objects","2017-01-01","0","Inf","GB-Mo","0.0190000000","USD","Fee","AmazonS3","Asia Pacific (Sydney)","AWS Region",,,,"S3-Storage-SIA-SmObject","Fee for storing small objects (<128KB) in SIA Storage",,,,,,,,"APS2-TimedStorage-SIA-SmObjects","",
"D3QYDRMPVC7ANXB3","JRTCKXETXF","D3QYDRMPVC7ANXB3.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - US East (Ohio) Amazon S3 accelerated data transfer from EU (Germany)","2017-01-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated InterRegion Inbound from close by location","US East (Ohio)","AWS Region","EU (Frankfurt)","AWS Region","USE2-EUC1-AWS-In-ABytes","",
"8HEBVR48XX6UNPM8","JRTCKXETXF","8HEBVR48XX6UNPM8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - EU (Germany) Amazon S3 accelerated data transfer to Canada (Central)","2017-01-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated InterRegion Outbound using edge locations outside US, Europe or Japan","EU (Frankfurt)","AWS Region","Canada (Central)","AWS Region","EUC1-CAN1-AWS-Out-ABytes-T2","",
"FKFB98XUH3AUXAGT","JRTCKXETXF","FKFB98XUH3AUXAGT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - AWS GovCloud (US) data transfer from South America (Sao Paulo)","2017-01-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"InterRegion Inbound","AWS GovCloud (US)","AWS Region","South America (Sao Paulo)","AWS Region","UGW1-SAE1-AWS-In-Bytes","",
"KF6P9DHJVYBPU5E2","JRTCKXETXF","KF6P9DHJVYBPU5E2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0265 per 1,000 - Bulk Glacier requests","2017-01-01","0","Inf","Requests","0.0000265000","USD","API Request","AmazonS3","EU (London)","AWS Region",,,,,,"S3-API-Tier5","Bulk Glacier Restore Requests",,,,,,"EUW2-Requests-Tier5","",
"9QV45TMYFTYHNXW2","JRTCKXETXF","9QV45TMYFTYHNXW2.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - US West (Oregon) Amazon S3 accelerated data transfer to EU (Ireland)","2017-01-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated InterRegion Outbound using edge locations outside US, Europe or Japan","US West (Oregon)","AWS Region","EU (Ireland)","AWS Region","USW2-EU-AWS-Out-ABytes-T2","",
"3FM8D22AX34UVS9F","JRTCKXETXF","3FM8D22AX34UVS9F.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - Asia Pacific (Mumbai) Amazon S3 accelerated data transfer from Asia Pacific (Seoul)","2017-01-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated InterRegion Inbound from close by location","Asia Pacific (Mumbai)","AWS Region","Asia Pacific (Seoul)","AWS Region","APS3-APN2-AWS-In-ABytes","",
"ETUCFFAD8SK95MWF","JRTCKXETXF","ETUCFFAD8SK95MWF.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.012 per GB - Glacier Early Delete","2017-01-01","0","Inf","GB-Mo","0.0040000000","USD","Fee","AmazonS3","EU (Ireland)","AWS Region",,,,"Glacier:EarlyDelete","Pro-rated fee for deleting items prior to 90 days",,,,,,,,"EU-EarlyDelete-ByteHrs","",
"JDTB869VVEH9D6S6","JRTCKXETXF","JDTB869VVEH9D6S6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - Asia Pacific (Tokyo) Amazon S3 accelerated data transfer to Asia Pacific (Mumbai)","2017-01-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated InterRegion Outbound from close by location","Asia Pacific (Tokyo)","AWS Region","Asia Pacific (Mumbai)","AWS Region","APN1-APS3-AWS-Out-ABytes","",
"NR3GYUVAU7D79JWY","JRTCKXETXF","NR3GYUVAU7D79JWY.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - South America (Sao Paulo) data transfer from EU (Ireland)","2017-01-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"InterRegion Inbound","South America (Sao Paulo)","AWS Region","EU (Ireland)","AWS Region","SAE1-EU-AWS-In-Bytes","",
"Z7VAKRN9THHHVCMT","JRTCKXETXF","Z7VAKRN9THHHVCMT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - Asia Pacific (Singapore) data transfer from US East (Ohio)","2017-01-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"InterRegion Inbound","Asia Pacific (Singapore)","AWS Region","US East (Ohio)","AWS Region","APS1-USE2-AWS-In-Bytes","",
